time,wealthlevels_bottom40,wealthlevels_next40,wealthlevels_top20,tot_hhs_bottom40,tot_hhs_next40,tot_hhs_top20,tot_wealth,sharebottom40,quantile_bottom40,sharenext40,quantile_next40,sharetop20,quantile_top20
1994-Q4,3.79246846170725e6,8.42622620853975e6,2.039270843055225e7,39276371,39272017,19644155,3.261140310079925e7,11.629271055848262,96558.5252697417,25.838281727697993,214560.56633250465,62.53244721645375,1.0381056569016203e6
1995-Q1,3.8386284513000003e6,8.435562573975e6,2.0750386517325e7,39383446,39380109,19697205,3.30245775426e7,11.623550509763124,97468.06948533657,25.543286853839568,214208.71572435214,62.83316263639731,1.0534685767511178e6
1995-Q2,4.03347605533075e6,8.4756303378595e6,2.08740981484575e7,39492210,39489920,19751149,3.338320454164775e7,12.082351322200727,102133.4601262059,25.388905751350478,214627.69075904688,62.5287429264488,1.0568548770736072e6
1995-Q3,4.1604245273700003e6,8.497491515276501e6,2.11728832740705e7,39602796,39601568,19806070,3.3830799316717e7,12.297742327696605,105053.80800310161,25.11761970423675,214574.62278454483,62.58463796806666,1.069009817397924e6
1995-Q4,4.18282879630875e6,8.53722322167225e6,2.17496217148875e7,39715275,39715111,19862015,3.44696737328685e7,12.13480820481402,105320.40370635102,24.767345603076002,214961.58531880347,63.09784619210998,1.0950360129567669e6
1996-Q1,4.21155007026e6,8.579516097828e6,2.210524389242e7,39829474,39830361,19918895,3.4896310060508e7,12.068754727813452,105739.5352562276,24.58574010533395,215401.41445938693,63.34550516685261,1.1097625592393554e6
1996-Q2,4.2296646450310005e6,8.629668254098501e6,2.22930704276735e7,39945159,39947070,19976588,3.5152403326803e7,12.03236264021233,105886.78956143347,24.54929802059523,216027.56482762066,63.41833933919244,1.1159598640004739e6
1996-Q3,4.26848465832e6,8.66629849821e6,2.227705218387e7,40062095,40064990,20034969,3.5211835340399995e7,12.122300973680264,106546.7159997499,24.611890900974416,216306.0192504728,63.26580812534534,1.1119084927892825e6
1996-Q4,4.224057044768e6,8.653954980088e6,2.28541970891685e7,40180051,40183873,20093917,3.57322091140245e7,11.82142708078495,105128.21511271849,24.218919553707128,215358.90729318198,63.95965336550793,1.1373689405190884e6
1997-Q1,4.179992359812e6,8.582524479318e6,2.3067835980658e7,40298792,40303469,20153309,3.5830352819787994e7,11.666065307354494,103725.00396071425,23.953223465268636,212947.53757593423,64.38071122737689,1.144617788605236e6
1997-Q2,4.29327067542375e6,8.789489872481e6,2.41311956806205e7,40418084,40423530,20213018,3.721395622852525e7,11.536722000368428,106221.52884396375,23.61879994297322,217434.99077099402,64.84447805665835,1.193844268115751e6
1997-Q3,4.407899155128e6,8.9079017618085e6,2.4839519836310998e7,40537695,40543809,20272926,3.81553207532475e7,11.552515004746311,108735.811326421,23.346420855472232,219710.52995559692,65.10106413978146,1.2252557838129038e6
1997-Q4,4.39511564535825e6,8.952220121249748e6,2.54106887888545e7,40657388,40664055,20332906,3.8758024555462494e7,11.339885599868142,108101.2790432639,23.097720340310886,220150.69872519473,65.56239405982099,1.2497322708743403e6
1998-Q1,4.47766483255e6,9.19151384515e6,2.701056184645e7,40776933,40784021,20392837,4.067974052415e7,11.007112569687564,109808.76939788483,22.59481925577512,225370.46666266673,66.39806817453731,1.324512221936065e6
1998-Q2,4.50783753055075e6,9.3029695358455e6,2.7377412578195497e7,40896096,40903460,20452595,4.118821964459175e7,10.944482595869266,110226.59792638275,22.586481319463957,227437.2274581539,66.46903608466678,1.338578922537482e6
1998-Q3,4.6276156776465e6,9.3014539826175e6,2.6328488172624e7,41014641,41022120,20512058,4.0257557832888e7,11.495023361466842,112828.38432369797,23.104863989088706,226742.40099286678,65.40011264944445,1.2835615116057103e6
