time,liquid_quants_0.1,liquid_quants_0.2,liquid_quants_0.3,liquid_quants_0.4,liquid_quants_0.5,liquid_quants_0.6,liquid_quants_0.7,liquid_quants_0.8,liquid_quants_0.9,liquid_quants_0.999999,liquid_levels_0.1,liquid_levels_0.2,liquid_levels_0.3,liquid_levels_0.4,liquid_levels_0.5,liquid_levels_0.6,liquid_levels_0.7,liquid_levels_0.8,liquid_levels_0.9,liquid_levels_0.999999,liquid_shares_0.1,liquid_shares_0.2,liquid_shares_0.3,liquid_shares_0.4,liquid_shares_0.5,liquid_shares_0.6,liquid_shares_0.7,liquid_shares_0.8,liquid_shares_0.9,liquid_shares_0.999999
2008-Q2,-5.426503007843876,-4.1222905654936195,0.8777399940897399,9.914514761327045,34.37315147003314,89.54071092843165,205.3950922820425,470.1413050076387,1075.6511433877586,2523.237098861042,-2713.251503921938,-2061.1452827468097,438.86999704486993,4957.257380663522,17186.575735016573,44770.35546421583,102697.54614102124,235070.65250381935,537825.5716938793,1.261618549430521e6,-0.0012334133227505158,-0.0009369732397418902,0.00019950531697049634,0.0022535129120081847,0.00781282216314587,0.02035209519427908,0.046685138270825696,0.10686044923103061,0.24448939749384502,0.5735174659803873
2008-Q3,-5.646846166355454,-3.1312956500009714,0.586611226870719,12.411216962091634,37.003050020262705,90.54124635095297,219.57782073992362,502.43043876989617,1137.7338736378817,2529.567798060919,-2823.4230831777268,-1565.6478250004857,293.3056134353595,6205.608481045817,18501.525010131354,45270.62317547649,109788.91036996181,251215.21938494808,568866.9368189409,1.2647838990304593e6,-0.0012490054960014648,-0.0006925999684140333,0.00012975041727594495,0.0027451922260747605,0.00818457090605574,0.020026491066986216,0.048567624621726854,0.11113077298279742,0.2516512437734611,0.5595059594700375
2008-Q4,-5.5742883567302695,-3.374866129542742,0.47735746757473063,9.756686301719252,32.71142736256412,80.33114758830772,196.54145699172815,463.19921525604053,1063.9992652995425,2579.141114885538,-2787.144178365135,-1687.433064771371,238.6787337873653,4878.343150859626,16355.71368128206,40165.57379415386,98270.72849586408,231599.60762802025,531999.6326497712,1.2895705574427692e6,-0.0012619482045499333,-0.0007640268999774184,0.00010806767798567682,0.0022087900684121925,0.007405452389023375,0.018185953251970588,0.044494493807604944,0.10486242918085606,0.24087594264226495,0.5838848460864096
2009-Q1,-5.5722238677142535,-3.5838538199215564,0.46244212926500256,10.15492045306106,30.524490986421245,79.19354801171089,198.09312303405483,469.43031282470946,1099.0673515345557,2524.9528333968997,-2786.1119338571266,-1791.9269099607782,231.22106463250128,5077.460226530529,15262.245493210623,39596.77400585544,99046.56151702741,234715.15641235473,549533.6757672778,1.2624764166984498e6,-0.0012656312781260883,-0.0008140084817850294,0.00010503548260366278,0.002306509081005125,0.006933093762641644,0.017987402116081175,0.04499332016185176,0.1066227238740103,0.24963354845252003,0.5734980068291975
2009-Q2,-5.380364643119257,-3.8269047018371394,1.3304852821488684,11.977013722768355,35.65081217356447,92.92703588421026,220.39988302602976,509.99175247309995,1165.813311857511,2590.2551608484255,-2690.1823215596282,-1913.4523509185697,665.2426410744342,5988.506861384178,17825.406086782234,46463.51794210513,110199.94151301488,254995.87623655,582906.6559287555,1.2951275804242129e6,-0.0011647983728905003,-0.0008284888972362727,0.00028803755778591565,0.0025929108939129115,0.00771806573836938,0.02011782980803929,0.04771450304251912,0.11040842078016658,0.2523876240400042,0.5607658954093295
2009-Q3,-5.605810883315053,-3.79848703509293,-0.02984352455715665,9.865175663393673,29.352704670580398,78.99068828371045,192.11629069884418,443.87645943218024,1081.443592501214,2546.440155662459,-2802.9054416575264,-1899.243517546465,-14.921762278578326,4932.5878316968365,14676.3523352902,39495.344141855225,96058.14534942209,221938.2297160901,540721.796250607,1.2732200778312294e6,-0.001282016556744294,-0.000868692035983904,-6.8250416202507316e-6,0.002256108669899054,0.006712793948313928,0.018064713975591493,0.04393588556996919,0.10151198140394177,0.24731990065845877,0.5823561494081742
2009-Q4,-5.331935865600137,-4.114143057276198,1.074458818415784,10.073045351304756,34.02791331889057,87.80445155870805,207.22714026240317,493.5419516978963,1128.511397890226,2561.6928678826444,-2665.9679328000684,-2057.071528638099,537.229409207892,5036.522675652378,17013.956659445284,43902.22577935403,103613.57013120159,246770.97584894815,564255.698945113,1.2808464339413221e6,-0.0011810671001219791,-0.0009113161021859475,0.00023800135501517042,0.0022312613584153885,0.007537459174261964,0.019449399166501756,0.04590249466339734,0.1093235508403414,0.24997444038288172,0.5674357762614933
2010-Q1,-5.537878062771789,-3.827431344171812,0.49321211776356305,10.234076195235195,32.18354512342604,86.48526068230574,207.33436023076442,473.6532622830221,1110.3137056832356,2578.328001657823,-2768.9390313858944,-1913.7156720859061,246.60605888178154,5117.0380976175975,16091.772561713022,43242.630341152864,103667.1801153822,236826.63114151105,555156.8528416178,1.2891640008289113e6,-0.001233473786758207,-0.0008524991305586299,0.00010985511267620106,0.0022794768276624983,0.007168370055231361,0.019263208901205163,0.0461804134255222,0.1054986903677322,0.24730462381346868,0.5742813344138186
2010-Q2,-5.611550576695249,-3.632875045769029,0.18095580519732565,10.424691507298714,31.020064013586875,79.57930735210593,199.41084738292707,466.28035541964204,1086.6139285275476,2517.5641926800154,-2805.7752883476246,-1816.4375228845145,90.47790259866282,5212.345753649357,15510.032006793437,39789.65367605296,99705.42369146354,233140.17770982103,543306.9642637738,1.2587820963400076e6,-0.0012806408927101471,-0.0008290771468833413,4.129685739114597e-5,0.002379072603137288,0.007079248761521625,0.01816120407644519,0.04550857773056964,0.10641224425521993,0.24798176768466665,0.5745463060706419
2010-Q3,-5.637035055662677,-3.1463818886523534,0.8881604137976746,12.485808724456291,38.94733076703952,89.83013980481883,216.42852804679669,509.70233225889206,1138.1122455102222,2557.2356572859735,-2818.5175278313386,-1573.1909443261766,444.08020689883733,6242.904362228145,19473.665383519758,44915.069902409414,108214.26402339834,254851.16612944604,569056.1227551111,1.2786178286429867e6,-0.0012375904878189755,-0.0006907766685840299,0.00019499237966760354,0.002741213768857384,0.008550744426328753,0.01972187957749418,0.0475160940030539,0.11190328812822968,0.24986839272869546,0.561431762144076
2010-Q4,-5.501276626886351,-3.9346073397067047,0.3859871305789418,9.096736956165383,30.570385196143846,80.16996377809335,198.56959892032376,473.2961436023378,1084.2568723390964,2546.150231508802,-2750.6383134431753,-1967.3036698533524,192.9935652894709,4548.368478082692,15285.192598071922,40084.98188904667,99284.79946016188,236648.0718011689,542128.4361695482,1.2730751157544008e6,-0.0012465900265747802,-0.0008915825545283264,8.746473591499084e-5,0.0020613218227399383,0.0069272534138373745,0.01816652461870414,0.04499589793126461,0.10724897005677662,0.24569275369598773,0.5769579863058777
2011-Q1,-5.414764936175206,-3.905055849684406,0.9801275568042999,10.254983081341235,33.244395634195456,87.17818757127296,207.1185758983305,482.47768461016574,1099.8534166422,2528.5099717638213,-2707.382468087603,-1952.527924842203,490.0637784021499,5127.491540670618,16622.197817097727,43589.093785636476,103559.28794916526,241238.84230508286,549926.7083211,1.2642549858819107e6,-0.0012194599369481213,-0.0008794581512524133,0.00022073465842193185,0.0023095261140938642,0.007486974796100849,0.01963341130631051,0.04664520223553252,0.10865886401140547,0.2476981353613602,0.5694460696049752
2011-Q2,-5.507266129169509,-3.6808936166235373,1.2365952029943237,11.9917691256245,36.642538309952556,94.82978683207607,224.314218222235,507.17652272929644,1150.678303327372,2623.787739130386,-2753.6330645847547,-1840.4468083117686,618.2976014971618,5995.884562812251,18321.26915497628,47414.89341603803,112157.1091111175,253588.2613646482,575339.151663686,1.311893869565193e6,-0.0011865350727592633,-0.000793044910629393,0.0002664232206588295,0.002583614867751238,0.007894598851760963,0.020430984335872385,0.04832827776917203,0.1092706831636524,0.24791250909949,0.5652924886750308
2011-Q3,-5.523603882606896,-3.8898079537357075,0.22737462993714586,9.256442811084629,31.244632365909133,82.7999627086484,199.66317480769837,463.64823219302923,1087.4132685103311,2607.6297940785107,-2761.8019413034476,-1944.9039768678538,113.68731496857293,4628.221405542315,15622.316182954566,41399.9813543242,99831.58740384919,231824.11609651463,543706.6342551656,1.3038148970392554e6,-0.0012350232727860104,-0.0008697226397169617,5.0838721527031485e-5,0.0020696491888022423,0.00698599120097096,0.01851325386546952,0.04464271385975456,0.10366716537143021,0.24313486670820694,0.5830402669963415
2011-Q4,-5.5302392921460735,-3.7898634231999133,0.8401298484484467,10.429637760146571,34.941234055938146,85.91875796013638,194.47096148345463,451.36701451386926,1067.681197649451,2517.076991746867,-2765.1196460730366,-1894.9317115999568,420.0649242242234,5214.818880073286,17470.617027969074,42959.378980068184,97235.48074172731,225683.50725693462,533840.5988247255,1.2585384958734335e6,-0.0012703247796964077,-0.0008705513746924388,0.0001929822035300204,0.0023957421352069725,0.008026183517495762,0.019735986367263383,0.04467099310777759,0.10368135499830215,0.24525193405576975,0.5781856997690432
2012-Q1,-5.436039963913177,-3.8154655124671097,1.566815799890064,11.435312823059197,36.93638799258537,92.92507100570334,214.04769712706994,496.3419006465433,1133.4161766792113,2564.9946843755256,-2718.0199819565883,-1907.732756233555,783.407899945032,5717.656411529599,18468.193996292684,46462.53550285167,107023.84856353496,248170.95032327165,566708.0883396056,1.2824973421877627e6,-0.001196729692620237,-0.0008399645514472912,0.00034493031748155035,0.002517453604205045,0.008131447256147234,0.020457206422249408,0.047122029361342514,0.10926834499717249,0.24951854690775796,0.5646767353777115
